HeadX,HeadY,TailX,TailY,Start,End
331.29,118.47,360.42,167.98,77,184
1350.8,1289.4,1342,1225.3,77,155
1717.8,642.77,1709,581.6,77,115
185.66,1478.7,200.22,1539.9,77,107
1237.2,1542.8,1283.8,1519.5,77,80
1369.3,878.05,1386.5,834.96,77,80
791.51,1717.6,826.47,1749.6,78,81
1502.2,534.99,1493.5,488.39,78,103
808.99,447.61,759.47,450.52,80,87
1071.1,724.32,1024.5,756.36,80,186
599.27,782.58,575.97,811.71,80,87
1219.9,1576.1,1268.8,1535.9,80,84
1044.9,1656.4,1094.4,1641.8,83,91
771.12,1382.6,800.25,1338.9,84,112
1158.5,1586.5,1208,1577.8,84,93
500.24,1711.8,506.06,1778.7,84,246
1682.4,1544.5,1656.6,1504.3,85,86
1754.2,1645,1760,1593.3,85,94
1682.8,1589.4,1682.8,1537,86,87
1007.1,368.97,963.37,366.05,87,89
841.03,447.61,794.43,462.17,87,112
727.43,444.7,672.09,459.26,87,94
1050.7,695.2,995.41,692.28,87,124
989.58,689.37,948.8,668.98,87,131
887.63,741.8,928.41,738.89,87,107
721.61,1021.4,680.83,989.39,87,107
1362.4,1298.1,1417.8,1309.8,87,154
1800.2,1754.2,1805.9,1702.5,87,98
328.38,1100.1,337.12,1164.2,89,93
1039.1,1592.3,1007.1,1621.5,89,117
1777.2,1722.6,1742.7,1688.1,89,94
1811.7,1642.1,1794.4,1688.1,89,96
1751.3,200.14,1714,162.8,89,94
750.73,651.5,689.57,660.24,91,95
1047.8,325.27,998.32,351.49,91,94
954.63,395.18,899.29,398.09,91,94
564.32,715.59,520.62,733.06,92,96
337.12,1056.4,342.95,1100.1,93,98
1117.7,1548.6,1158.5,1571.9,93,113
989.58,1630.2,942.98,1659.3,93,101
1645,1516.6,1604.2,1519.5,93,111
838.12,634.03,774.04,616.55,95,115
954.63,386.44,913.85,412.66,95,97
1816.8,1571.9,1776,1601.1,95,98
1059.5,316.54,1012.9,336.93,95,97
596.36,692.28,549.75,715.59,96,100
433.24,963.17,386.64,992.3,98,102
1805.9,1535.9,1803,1584.7,98,106
1790.6,1743.8,1746.9,1720.5,98,115
631.31,689.37,587.62,718.5,100,106
360.42,756.36,310.9,768.02,100,102
1007.1,1595.2,972.1,1633.1,101,117
1703.2,1609.8,1650.8,1589.4,101,115
383.72,721.41,351.68,753.45,103,108
1572.1,532.08,1522.6,511.69,103,145
479.85,896.18,456.54,954.43,104,133
1746.9,1743.8,1744,1805,106,151
1770.2,1534.1,1813.9,1554.5,106,115
715.78,1708.8,683.74,1743.8,108,116
931.33,712.67,884.72,741.8,111,116
1677,1522.4,1621.7,1493.3,111,113
1601.3,1537,1548.8,1522.4,111,116
1114.8,264.11,1091.5,304.88,111,138
890.55,456.35,838.12,444.7,112,115
1778.9,966.08,1773.1,1024.3,113,116
1077,1551.6,1135.2,1545.7,113,134
1694.5,692.28,1703.2,625.29,115,130
1790.6,1478.7,1799.3,1531.2,116,124
1557.6,1566.1,1540.1,1513.7,116,121
1039.1,1569,1004.1,1580.7,118,124
1266.3,832.1,1254.6,878.7,119,124
666.26,642.77,622.57,634.03,119,140
599.27,1298.1,602.18,1365.1,121,147
1289.6,657.33,1219.7,651.5,124,128
1082.8,706.85,1036.2,683.55,126,143
1120.7,596.16,1074.1,607.81,128,130
1697.4,741.8,1700.3,674.81,130,138
1705.4,1650.8,1711.1,1705.3,130,133
1161.4,578.69,1103.2,572.86,130,140
1784.8,1432.1,1735.3,1423.4,131,134
1254.6,846.66,1199.3,823.36,131,145
1793.5,1475.8,1744,1472.9,134,143
462.37,852.49,476.93,893.26,134,138
1671.2,406.83,1708.3,358.13,134,145
1042,1519.5,1085.7,1519.5,135,138
1004.1,671.89,951.71,695.2,135,141
835.2,593.25,782.77,581.6,137,169
1653.7,811.71,1601.3,794.23,137,145
986.67,631.12,937.15,628.2,137,143
1018.7,1478.7,1071.1,1513.7,138,145
500.24,823.36,485.67,872.88,138,141
1729.4,1714.7,1700.3,1758.4,140,157
1650.8,1673.9,1700.3,1711.8,141,167
1537.2,1338.9,1511,1298.1,143,201
1129.4,258.28,1120.7,316.54,143,224
1705.4,131.2,1662.3,157.05,143,154
942.98,1516.6,998.32,1504.9,145,165
1808.1,1720.5,1778.9,1694.3,145,167
1193.5,622.38,1135.2,604.9,145,149
1703.2,817.53,1642,817.53,145,155
552.67,701.02,526.45,756.36,147,153
616.75,1304,593.44,1341.8,147,195
1796.4,1772.9,1749.8,1758.4,153,167
1146.9,689.37,1094.4,666.07,154,159
1761.5,849.57,1688.6,843.75,155,164
1382.8,1277.8,1342,1242.8,155,185
602.18,645.68,575.97,703.93,155,159
1190.6,701.02,1129.4,683.55,159,164
875.98,1114.6,823.55,1137.9,159,165
1784.8,800.06,1787.7,849.57,159,177
1624.6,733.06,1580.9,686.46,160,169
459.46,546.64,401.2,534.99,161,202
1589.6,1551.6,1586.7,1493.3,161,177
1592.5,610.73,1545.9,584.51,162,189
1781.9,884.53,1726.5,869.96,164,165
675,532.08,657.52,604.9,164,176
532.28,610.73,482.76,628.2,165,176
1636.2,1641.8,1700.3,1633.1,167,241
1703.2,1691.4,1679.9,1735.1,167,194
884.72,1438,922.59,1440.9,169,174
1612.9,765.1,1586.7,709.76,169,224
855.59,561.21,808.99,569.95,169,183
1744,1770,1744,1705.9,171,176
730.34,529.17,680.83,564.12,176,181
1735.3,802.97,1752.7,846.66,177,181
1643.9,1553.9,1614.5,1522.6,177,501
1729.4,1772.9,1741.1,1735.1,177,199
1799.3,1647.7,1802.2,1705.9,180,218
223.52,1009.8,182.74,1027.3,181,240
1709,578.69,1706.1,631.12,181,184
1632.1,801.23,1669.4,840.43,181,497
873.07,572.86,820.64,575.77,183,222
1665.3,529.17,1665.3,569.95,184,188
1717.8,668.98,1752.7,610.73,185,187
1109,747.63,1047.8,733.06,186,187
660.44,435.96,715.78,430.13,186,195
261.39,121.38,316.73,147.6,187,192
1202.2,762.19,1141,733.06,189,195
1796.4,1624.4,1744,1641.8,189,194
395.38,1484.6,468.19,1484.6,191,194
1679.9,1685.5,1677,1732.1,191,194
1589.6,604.9,1537.2,590.34,192,224
1665.3,412.66,1682.8,459.26,194,196
1668.3,1735.1,1682.8,1685.5,194,209
750.73,441.79,698.3,438.87,195,222
418.68,1828.3,366.25,1790.4,195,198
648.79,1301.1,602.18,1318.5,195,222
1455.6,1306.9,1403.2,1304,197,205
459.46,1810.8,401.2,1802,198,211
1659.5,1738,1618.7,1743.8,198,201
1624.6,1703,1557.6,1720.5,198,201
1787.7,1781.7,1741.1,1738,199,209
72.058,1440.9,60.407,1507.9,201,204
156.53,275.76,179.83,223.33,201,206
1636.2,395.18,1674.1,427.22,201,220
